"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","2016",12.4,
"AUS","SMOKERS","TOT","PC_POP15","A","2019",11.2,
"AUT","SMOKERS","TOT","PC_POP15","A","2019",20.6,
"BEL","SMOKERS","TOT","PC_POP15","A","2018",15.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2016",12.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2017",12,
"CAN","SMOKERS","TOT","PC_POP15","A","2018",11.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2019",10.3,
"CZE","SMOKERS","TOT","PC_POP15","A","2016",19.6,
"CZE","SMOKERS","TOT","PC_POP15","A","2017",18.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2018",21.1,
"CZE","SMOKERS","TOT","PC_POP15","A","2019",18.1,
"DNK","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"FIN","SMOKERS","TOT","PC_POP15","A","2016",15,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2017",13,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2018",14,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2019",13,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2020",12,"D"
"FRA","SMOKERS","TOT","PC_POP15","A","2016",29.4,
"FRA","SMOKERS","TOT","PC_POP15","A","2017",26.9,
"FRA","SMOKERS","TOT","PC_POP15","A","2018",25.4,
"FRA","SMOKERS","TOT","PC_POP15","A","2019",24,
"DEU","SMOKERS","TOT","PC_POP15","A","2017",18.8,
"GRC","SMOKERS","TOT","PC_POP15","A","2019",24.9,
"HUN","SMOKERS","TOT","PC_POP15","A","2019",24.9,
"ISL","SMOKERS","TOT","PC_POP15","A","2016",10.2,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2017",9.4,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2018",8.6,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2019",8.2,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2020",7.3,"D"
"IRL","SMOKERS","TOT","PC_POP15","A","2016",19,
"IRL","SMOKERS","TOT","PC_POP15","A","2017",18,
"IRL","SMOKERS","TOT","PC_POP15","A","2018",17,
"IRL","SMOKERS","TOT","PC_POP15","A","2019",14,
"ITA","SMOKERS","TOT","PC_POP15","A","2016",20,
"ITA","SMOKERS","TOT","PC_POP15","A","2017",19.9,
"ITA","SMOKERS","TOT","PC_POP15","A","2018",19.2,
"ITA","SMOKERS","TOT","PC_POP15","A","2019",18.6,
"JPN","SMOKERS","TOT","PC_POP15","A","2016",18.3,
"JPN","SMOKERS","TOT","PC_POP15","A","2017",17.7,
"JPN","SMOKERS","TOT","PC_POP15","A","2018",17.8,
"JPN","SMOKERS","TOT","PC_POP15","A","2019",16.7,
"KOR","SMOKERS","TOT","PC_POP15","A","2016",18.4,
"KOR","SMOKERS","TOT","PC_POP15","A","2017",17.5,
"KOR","SMOKERS","TOT","PC_POP15","A","2018",17.5,
"KOR","SMOKERS","TOT","PC_POP15","A","2019",16.4,
"LUX","SMOKERS","TOT","PC_POP15","A","2016",14.9,
"LUX","SMOKERS","TOT","PC_POP15","A","2017",16,
"LUX","SMOKERS","TOT","PC_POP15","A","2018",14.5,
"LUX","SMOKERS","TOT","PC_POP15","A","2019",16.8,
"LUX","SMOKERS","TOT","PC_POP15","A","2020",16.9,
"MEX","SMOKERS","TOT","PC_POP15","A","2017",7.6,"D"
"NLD","SMOKERS","TOT","PC_POP15","A","2016",18,
"NLD","SMOKERS","TOT","PC_POP15","A","2017",16.8,
"NLD","SMOKERS","TOT","PC_POP15","A","2018",15.5,
"NLD","SMOKERS","TOT","PC_POP15","A","2019",15.4,
"NZL","SMOKERS","TOT","PC_POP15","A","2016",14.2,
"NZL","SMOKERS","TOT","PC_POP15","A","2017",13.8,
"NZL","SMOKERS","TOT","PC_POP15","A","2018",13.1,
"NZL","SMOKERS","TOT","PC_POP15","A","2019",12.5,
"NZL","SMOKERS","TOT","PC_POP15","A","2020",11.6,
"NOR","SMOKERS","TOT","PC_POP15","A","2016",12,
"NOR","SMOKERS","TOT","PC_POP15","A","2017",11,
"NOR","SMOKERS","TOT","PC_POP15","A","2018",12,
"NOR","SMOKERS","TOT","PC_POP15","A","2019",9,
"NOR","SMOKERS","TOT","PC_POP15","A","2020",9,
"POL","SMOKERS","TOT","PC_POP15","A","2019",17.1,
"PRT","SMOKERS","TOT","PC_POP15","A","2019",14.2,
"SVK","SMOKERS","TOT","PC_POP15","A","2019",21,
"ESP","SMOKERS","TOT","PC_POP15","A","2017",22.1,
"ESP","SMOKERS","TOT","PC_POP15","A","2020",19.8,
"SWE","SMOKERS","TOT","PC_POP15","A","2016",10.9,
"SWE","SMOKERS","TOT","PC_POP15","A","2017",10.4,
"SWE","SMOKERS","TOT","PC_POP15","A","2018",10.1,
"SWE","SMOKERS","TOT","PC_POP15","A","2019",10.4,
"CHE","SMOKERS","TOT","PC_POP15","A","2017",19.1,
"TUR","SMOKERS","TOT","PC_POP15","A","2016",26.5,
"TUR","SMOKERS","TOT","PC_POP15","A","2019",28,
"GBR","SMOKERS","TOT","PC_POP15","A","2016",16.1,
"GBR","SMOKERS","TOT","PC_POP15","A","2017",16.8,
"GBR","SMOKERS","TOT","PC_POP15","A","2018",16.6,
"GBR","SMOKERS","TOT","PC_POP15","A","2019",15.8,
"USA","SMOKERS","TOT","PC_POP15","A","2016",11.8,
"USA","SMOKERS","TOT","PC_POP15","A","2017",10.5,
"USA","SMOKERS","TOT","PC_POP15","A","2018",10.3,
"USA","SMOKERS","TOT","PC_POP15","A","2019",10.9,
"BRA","SMOKERS","TOT","PC_POP15","A","2016",10.2,"D"
"BRA","SMOKERS","TOT","PC_POP15","A","2017",10.1,"D"
"BRA","SMOKERS","TOT","PC_POP15","A","2018",9.3,"D"
"BRA","SMOKERS","TOT","PC_POP15","A","2019",9.8,"D"
"CHL","SMOKERS","TOT","PC_POP15","A","2016",24.5,
"CHN","SMOKERS","TOT","PC_POP15","A","2016",21.9,"D"
"CHN","SMOKERS","TOT","PC_POP15","A","2018",21.5,"D"
"EST","SMOKERS","TOT","PC_POP15","A","2016",21.3,
"EST","SMOKERS","TOT","PC_POP15","A","2018",17.2,
"EST","SMOKERS","TOT","PC_POP15","A","2020",17.9,
"IND","SMOKERS","TOT","PC_POP15","A","2016",10.3,"D"
"IND","SMOKERS","TOT","PC_POP15","A","2018",10,"D"
"IDN","SMOKERS","TOT","PC_POP15","A","2016",27.5,"D"
"IDN","SMOKERS","TOT","PC_POP15","A","2018",27.6,"D"
"ISR","SMOKERS","TOT","PC_POP15","A","2016",19.6,"B"
"ISR","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"ISR","SMOKERS","TOT","PC_POP15","A","2019",16.4,
"RUS","SMOKERS","TOT","PC_POP15","A","2016",30.3,"B"
"RUS","SMOKERS","TOT","PC_POP15","A","2017",27.5,"B"
"RUS","SMOKERS","TOT","PC_POP15","A","2018",26.7,
"RUS","SMOKERS","TOT","PC_POP15","A","2019",25.8,
"SVN","SMOKERS","TOT","PC_POP15","A","2019",17.4,
"ZAF","SMOKERS","TOT","PC_POP15","A","2016",17.6,"D"
"ZAF","SMOKERS","TOT","PC_POP15","A","2018",17.3,"D"
"LVA","SMOKERS","TOT","PC_POP15","A","2019",22.6,
"LTU","SMOKERS","TOT","PC_POP15","A","2019",18.9,
"CRI","SMOKERS","TOT","PC_POP15","A","2016",5.2,
"CRI","SMOKERS","TOT","PC_POP15","A","2017",4.7,
"CRI","SMOKERS","TOT","PC_POP15","A","2018",4.2,
